2X;O;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1X;O;.;.;.;1X;O
O;.;.;.;.;.;1X;O;.;.;X;O;.;.;.;.;.;.;.;.;.;.;.;.;.
.;.;O;.;.;.;X;.;O;.;X;.;O;.;.;.;1X;O;.;.;.;.;.;.;X
.;.;.;O;X;O;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;.;.;.;O;.;.;.;2X;O;1X;.;.;O;.;1X;O;.;.;.;.;.;.;.;.
.;.;.;.;.;.;X;2X;O;.;.;X;.;2X;O;.;.;.;.;.;.;.;.;.;.
.;.;.;X;.;.;1X;O;.;.;.;.;.;0X;.;O;.;.;.;.;.;1X;O;2X;O
X;.;.;O;.;.;.;.;.;.;.;.;.;.;.;X;.;.;O;.;.;.;.;.;1X
O;.;.;.;.;.;.;X;.;.;O;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;.;.;.;.;X;O;.;.;.;2X;O;.;.;X;O;.;.;.;.;.;.;.;0X;X
.;.;1X;.;.;1X;.;O;.;.;0X;.;.;O;.;.;.;0X;.;.;X;O;.;.;.
.;.;O;.;2X;O;X;.;.;.;X;.;0X;.;O;.;.;.;.;.;.;.;.;X;X
.;.;2X;X;O;X;O;.;.;.;.;.;X;.;.;.;.;O;.;.;X;.;.;O;.
.;.;O;.;X;O;.;.;.;.;.;1X;O;.;.;.;.;.;.;.;.;.;.;.;0X
X;.;.;O;X;.;0X;0X;.;.;O;.;.;.;.;0X;0X;.;.;.;O;.;.;.;.
O;.;.;2X;O;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1X;.;.;O
.;1X;.;X;.;.;X;X;.;.;.;O;.;0X;.;O;.;X;.;.;1X;O;.;.;2X
.;O;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1X;.;0X;.;O
.;.;.;O;.;.;.;.;.;.;.;.;X;O;.;.;.;.;.;X;O;.;.;X;.
.;.;X;X;.;.;O;X;.;.;.;.;O;.;0X;.;O;.;.;.;1X;.;O;.;.
.;X;O;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;X;.
.;O;.;.;.;.;.;X;.;X;.;0X;.;.;O;.;.;.;0X;X;1X;.;.;O;.
.;.;.;O;.;.;.;.;.;.;.;.;.;X;.;0X;1X;O;.;X;O;.;X;.;.
.;.;.;2X;X;0X;.;O;.;.;X;O;.;.;.;.;.;.;X;O;.;.;.;X;.
.;0X;.;O;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
medium;25;0;0;;;;;;;;;;;;;;;;;;;;;
