O;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;X;O;.;.;.;.;.;X;O
.;2X;O;.;.;.;.;.;.;.;.;.;.;X;O;.;.;.;X;O;.;.;.;X;X
.;O;.;.;.;X;O;.;.;.;.;.;.;.;X;O;X;.;O;.;.;.;.;.;.
.;.;.;O;.;.;.;.;.;.;.;.;.;.;.;.;.;X;.;.;O;.;X;O;.
.;.;.;.;O;.;.;.;.;.;.;.;.;.;.;.;.;X;.;.;.;O;.;.;.
.;.;.;.;.;O;.;.;.;.;.;.;1X;O;.;X;O;.;X;.;.;.;O;.;.
.;.;.;.;.;.;.;O;.;.;.;.;.;.;.;.;.;X;0X;.;.;.;.;.;O
.;.;.;.;.;.;X;.;O;.;.;.;.;.;.;.;.;.;X;.;.;X;.;.;.
.;.;.;X;.;.;O;.;.;.;.;X;X;X;O;.;.;.;.;X;X;O;.;.;.
.;.;.;O;.;.;.;.;.;.;.;.;X;O;.;.;.;.;.;.;X;.;.;.;.
.;.;.;.;.;.;.;.;.;O;X;O;.;.;0X;X;.;O;.;.;X;.;.;.;.
1X;.;X;.;.;X;.;.;.;.;O;.;.;.;.;.;X;.;O;.;.;.;.;.;X
O;.;.;.;.;.;X;.;X;.;.;.;X;.;O;.;.;X;X;O;.;.;X;.;O
X;.;O;X;.;X;X;.;O;.;.;.;.;.;X;O;.;1X;O;.;.;.;.;.;.
O;.;.;.;.;.;.;X;.;.;.;.;O;.;.;.;.;X;.;.;O;.;.;X;.
.;.;.;O;.;.;.;0X;.;.;.;X;.;.;O;.;.;.;.;X;.;.;X;X;.
.;.;.;.;.;O;.;.;.;.;.;.;.;.;.;X;O;.;.;.;.;.;.;.;.
.;.;.;.;.;.;O;.;.;.;X;O;.;X;.;O;.;.;.;.;.;.;.;.;.
.;.;.;.;.;.;.;O;.;X;X;.;.;O;.;.;.;.;.;.;.;.;.;.;.
.;X;.;.;.;.;.;.;.;O;.;.;.;.;X;.;.;O;X;O;.;.;.;.;.
X;0X;.;.;.;.;.;.;.;.;O;.;.;X;O;.;.;.;X;X;.;X;O;.;.
O;.;.;.;.;.;.;1X;.;.;.;.;X;O;.;.;.;.;.;.;.;.;.;.;.
.;1X;.;.;.;.;.;O;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;O;.;.;.;.;X;.;X;.;.;.;O;.;.;.;.;.;.;.;.;.;X;O;.
0X;.;.;X;.;.;O;.;.;.;.;.;.;.;X;.;.;.;O;.;.;X;O;.;.
hard;25;0;0;;;;;;;;;;;;;;;;;;;;;
